Model;Range (avg = 388 km);
Fiat 500e Hatchback 24 kWh;135;
Fiat 500e Cabrio 24 kWh;135;
Dacia Spring Electric 100;160;
Dacia Spring Electric 70;165;
Citroën ë-C3 Urban Range 30 kWh;175;
Citroën ë-SpaceTourer M 50 kWh;180;
Citroën ë-SpaceTourer XL 50 kWh;180;
Peugeot e-Traveller L2 50 kWh;180;
Peugeot e-Traveller L3 50 kWh;180;
Opel Zafira Electric 50 kWh;180;
Opel Zafira Electric XL 50 kWh;180;
Toyota Proace Verso M 50 kWh;180;
Renault Twingo E-Tech 27.5 kWh;185;
BYD DOLPHIN SURF 30 kWh Active;190;
Dongfeng Box 31.4 kWh;190;
Ford e-Tourneo Courier;200;
Mercedes-Benz EQV 250 Extra-Long;210;
Mercedes-Benz EQV 250 Long;215;
Mercedes-Benz eVito Tourer Extra-Long 60 kWh;215;
Nissan Townstar EV Passenger L2;220;
Mercedes-Benz eVito Tourer Long 60 kWh;220;
Mercedes-Benz EQT 200 Long;220;
Abarth 500e Hatchback;225;
Abarth 500e Convertible;225;
Mercedes-Benz EQT 200 Standard;225;
Leapmotor T03;225;
Nissan Townstar EV Passenger;225;
Citroën ë-Berlingo XL 50 kWh;230;
Opel Combo Electric XL 50 kWh;230;
Peugeot e-Rifter XL 50 kWh;230;
Toyota Proace City Verso L2 50 kWh;230;
Mini Aceman E;230;
Kia PV5 Passenger 51.5 kWh;230;
Fiat 500e Cabrio 42 kWh;230;
Fiat 500e Hatchback 42 kWh;235;
Fiat 500e 3+1 42 kWh;235;
Citroën ë-Berlingo M 50 kWh;235;
Opel Combo Electric 50 kWh;235;
Peugeot e-Rifter M 50 kWh;235;
Toyota Proace City Verso L1 50 kWh;235;
firefly firefly;240;
Kia EV2 42.2 kWh;240;
Citroën ë-C3 Aircross Comfort Range 44 kWh;240;
Opel Frontera Electric 44 kWh;240;
BYD ATTO 2;245;
Renault 4 E-Tech 40kWh 120hp;245;
Volkswagen e-Caravelle L1 100 kW 64 kWh;245;
Volkswagen e-Caravelle L1 160 kW 64 kWh;245;
Volkswagen e-Caravelle L1 210 kW 64 kWh;245;
Volkswagen e-Caravelle L2 100 kW 64 kWh;245;
Volkswagen e-Caravelle L2 160 kW 64 kWh;245;
Volkswagen e-Caravelle L2 210 kW 64 kWh;245;
Ford e-Tourneo Custom L2 210 kW AWD;250;
Smart #1 Pure;250;
Mini Cooper E;250;
Volkswagen e-Transporter Kombi L2 100 kW 64 kWh;250;
Volkswagen e-Transporter Kombi L2 160 kW 64 kWh;250;
Volkswagen e-Transporter Kombi L2 210 kW 64 kWh;250;
Smart #1 Pro;250;
Ford e-Tourneo Custom L1 210 kW RWD;255;
Ford e-Tourneo Custom L1 210 kW AWD;255;
Ford e-Tourneo Custom L2 210 kW RWD;255;
Hyundai INSTER Standard Range;255;
Dongfeng Box 42.3 kWh;255;
Volkswagen e-Transporter Kombi L1 100 kW 64 kWh;255;
Volkswagen e-Transporter Kombi L1 160 kW 64 kWh;255;
Volkswagen e-Transporter Kombi L1 210 kW 64 kWh;255;
Citroën ë-C3 Standard Range 44 kWh;255;
GWM ORA 03 48 kWh;260;
Renault 5 E-Tech 40kWh 95hp;260;
Renault 5 E-Tech 40kWh 120hp;260;
Ford e-Tourneo Custom L2 160 kW AWD;260;
Nissan Micra Standard Range 40 kWh;260;
MG MG4 Urban Comfort Standard Range;260;
Fiat Grande Panda;260;
Smart #3 Pro;265;
Volkswagen ID. Buzz NWB Pure;265;
Ford e-Tourneo Custom L1 160 kW AWD;265;
BYD DOLPHIN SURF 43.2 kWh Comfort;265;
Citroën ë-SpaceTourer M 75 kWh;265;
Citroën ë-SpaceTourer XL 75 kWh;265;
Peugeot e-Traveller L2 75 kWh;265;
Peugeot e-Traveller L3 75 kWh;265;
Opel Zafira Electric 75 kWh;265;
Opel Zafira Electric XL 75 kWh;265;
Toyota Proace Verso M 75 kWh;265;
Toyota Proace Verso L 75 kWh;265;
TOGG T10X Standard Range RWD;265;
Ford e-Tourneo Custom L1 160 kW RWD;270;
Ford e-Tourneo Custom L2 160 kW RWD;270;
BYD DOLPHIN SURF 43.2 kWh Boost;270;
Zeekr X Core RWD;270;
Toyota Urban Cruiser 48.8 kWh;270;
Suzuki e VITARA 49 kWh 2WD;270;
Ford Puma Gen-E;275;
MG MGS5 EV 49 kWh;275;
Volvo EX30 Single Motor;275;
Volvo EX30 P3;275;
Volvo EX30 P5;275;
Opel Mokka Electric GSE;280;
Abarth 600e Turismo;280;
Abarth 600e Scorpionissima;280;
Mini Aceman JCW;280;
Volkswagen ID.4 Pure;285;
Citroën ë-C4;285;
Opel Mokka Electric;285;
Mini Aceman SE;290;
Opel Corsa Electric 50 kWh;290;
Citroën ë-C3 Aircross Extended Range 54 kWh;290;
Opel Frontera Electric 54 kWh;290;
Citroën ë-C4 X;290;
Mini Cooper JCW;290;
Hyundai Kona Electric 48.6 kWh;295;
Peugeot e-208 50 kWh;295;
TOGG T10F Standard Range RWD;295;
Peugeot e-2008 54 kWh;300;
MG MG4 Electric 51 kWh;300;
Hyundai INSTER Long Range;300;
DS Automobiles DS 3 E-Tense;300;
Toyota bZ4X FWD 57.7 kWh;305;
Lancia Ypsilon 54 kWh HF;305;
Leapmotor B10 56.2 kWh;305;
BYD ATTO 2 64.8 kWh;305;
Alpine A290 Electric 220 hp;305;
Jeep Avenger Electric;310;
Alfa Romeo Junior Elettrica 54 kWh Veloce;310;
Toyota Urban Cruiser 61.1 kWh AWD;310;
Suzuki e VITARA 61 kWh 4WD AllGrip;310;
Fiat 600e;310;
VinFast VF 6 Plus;310;
Škoda Elroq 50;310;
Alpine A290 Electric 180 hp;310;
Renault 4 E-Tech 52kWh 150hp;315;
VinFast VF 6 Eco;315;
Kia PV5 Passenger 71.2 kWh;315;
Mercedes-Benz EQV 300 Extra-Long;315;
Subaru Solterra AWD;320;
Mercedes-Benz EQV 300 Long;320;
Subaru Uncharted 57.7 kWh;320;
Alfa Romeo Junior Elettrica 54 kWh;320;
MG MG4 Electric XPOWER;320;
Volkswagen ID.5 Pure;320;
Hongqi E-HS9 84 kWh;320;
Jaecoo 5 EV;325;
GWM ORA 03 GT;325;
Audi Q4 e-tron 40;325;
Mercedes-Benz eVito Tourer Long 90 kWh;325;
Smart #1 Pulse;325;
MG MG4 XPOWER;325;
MG MG4 Urban Comfort Long Range;325;
MG MG4 Urban Premium Long Range;325;
Lancia Ypsilon 54 kWh;325;
Kia EV3 Standard Range;325;
Volkswagen ID.3 Pure;325;
Smart #1 Brabus;325;
Citroën ë-C4 54 kWh;325;
Skywell BE11 Standard Range;325;
Nissan LEAF Standard Range 52 kWh;330;
Toyota C-HR+ 57.7 kWh;330;
Nissan Micra Extended Range 52 kWh;330;
Toyota Urban Cruiser 61.1 kWh;330;
Suzuki e VITARA 61 kWh 2WD;330;
Volvo EX30 Cross Country P8 AWD;330;
Mini Cooper SE;330;
Omoda E5;330;
Geely EX5;330;
Smart #1 Premium;335;
Nissan Ariya 63kWh;335;
Volvo EX30 Cross Country;335;
Renault 5 E-Tech 52kWh 150hp;335;
Ford Explorer Standard Range RWD;335;
Opel Astra Sports Tourer Electric 58 kWh;335;
Smart #1 Pro+;335;
Honda e:Ny1;335;
Opel Corsa Electric 54 kWh;335;
Peugeot e-208 54 kWh;335;
Smart #1 Pure+;335;
Hyundai IONIQ 6 Standard Range 2WD;335;
Citroën ë-C4 X 54 kWh;335;
GWM ORA 03 63 kWh;340;
Kia EV4 Hatchback 58.3 kWh;340;
Audi Q4 Sportback e-tron 40;340;
Volvo EX30 Twin Motor Performance;340;
BYD ATTO 3;340;
Renault Scenic E-Tech EV60 170hp;340;
Volvo EX30 P8 AWD;340;
Kia EV2 61 kWh;340;
Peugeot e-308 SW 58 kWh;340;
Volvo EX40 Single Motor;345;
Opel Astra Electric 58 kWh;345;
Hyundai IONIQ 5 63 kWh RWD;345;
Kia EV6 Standard Range 2WD;345;
Peugeot e-308 58 kWh;345;
Kia EV9 76.1 kWh RWD;350;
Ford Capri Standard Range RWD;350;
Zeekr X Privilege AWD;350;
DS Automobiles N°4 E-Tense;350;
Volvo EX30 Cross Country P5 Long Range;350;
Mercedes-Benz EQA 300 4MATIC;350;
Mercedes-Benz EQA 350 4MATIC;350;
GWM ORA 07 Pure;350;
GWM ORA 07 Pro;350;
Smart #3 Brabus;350;
Škoda Elroq 60;350;
BYD DOLPHIN 60.4 kWh;350;
Peugeot e-408 58 kWh;350;
Smart #3 Premium;355;
Peugeot e-5008 73 kWh Dual Motor;355;
Opel Grandland Electric 73 kWh AWD;355;
Peugeot e-408 58 kWh;355;
Smart #3 Pro+;355;
Leapmotor C10 RWD 69.9 kWh;355;
Lynk&Co 02;355;
Škoda Enyaq 60;360;
Maxus MIFA 9;360;
BYD SEAL U 71.8 kWh Comfort;360;
Volvo EC40 Single Motor;360;
Volkswagen ID. Buzz NWB GTX;360;
KGM Musso EV 4WD;360;
Zeekr X Long Range RWD;360;
MG MG4 Premium Long Range;360;
Leapmotor B10 67.1 kWh;360;
MG MG4 Electric 64 kWh;360;
NIO EL8 Standard Range;360;
CUPRA Born 170 kW - 59 kWh;360;
CUPRA Born 150 kW - 59 kWh;360;
BYD SEAL 61.4 kWh RWD Comfort;365;
Changan Deepal S05 4WD Max;365;
Cadillac OPTIQ 500 E4;365;
MG MGS5 EV 64 kWh;365;
Volvo EX30 Single Motor ER;365;
KGM Musso EV 2WD;365;
NIO EL6 Standard Range;365;
Volvo EX30 P3 Long Range;365;
Volvo EX30 P5 Long Range;365;
Volkswagen ID.3 Pro;365;
Peugeot e-3008 73 kWh Dual Motor;365;
Škoda Enyaq Coupe 60;370;
Smart #5 Pro;370;
Peugeot e-5008 73 kWh;370;
Subaru Solterra AWD 73.1 kWh;370;
Jeep Compass Electric 74 kWh;370;
KGM Torres EVX;370;
Volkswagen ID. Buzz NWB Pro;370;
Hongqi E-HS9 99 kWh;370;
Opel Grandland Electric 73 kWh;370;
Toyota bZ4X AWD 73.1 kWh;375;
XPENG P7+ RWD Standard Range;375;
Subaru Uncharted 77 kWh AWD;375;
Citroën C5 Aircross Comfort Range;375;
Lexus ES 500e DIRECT 4;375;
Cadillac VISTIQ 900 E4;375;
Zeekr 7X Core RWD;380;
Tesla Model Y RWD;380;
Renault Megane E-Tech EV60 220hp;380;
Leapmotor C10 AWD 81.9 kWh;380;
XPENG G6 RWD Standard Range;380;
Volkswagen ID. Buzz LWB GTX ;380;
Ford Mustang Mach-E SR RWD;380;
Peugeot e-3008 73 kWh;380;
Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo;385;
Changan Deepal S05 RWD;385;
Toyota bZ4X FWD 73.1 kWh;385;
Toyota C-HR+ 77 kWh AWD;385;
Toyota bZ4X Touring AWD 74.7 kWh;385;
Volvo EX40 Twin Motor;385;
Volvo EX40 Twin Motor Performance;385;
Mini Countryman SE ALL4;385;
Hyundai Kona Electric 64.8 kWh;385;
Kia EV5 81.4 kWh AWD;385;
Genesis GV70 Electrified;385;
Ford Mustang Mach-E SR RWD;385;
Skywell BE11 Long Range;385;
Hyundai Kona Electric 65 kWh;390;
Voyah Courage 80 kWh AWD;390;
MG MGS6 EV Dual Motor 77 kWh;390;
Volkswagen ID. Buzz LWB Pro;390;
BMW iX1 xDrive30;390;
Lexus ES 350e;390;
Elaris BEO 86 kWh;390;
Lexus RZ 550e F SPORT;390;
Hyundai IONIQ 5 N;390;
Kia EV6 GT;395;
Voyah Courage 80 kWh RWD;395;
BMW iX2 xDrive30;395;
Maserati GranCabrio Folgore;395;
Mercedes-Benz G 580;395;
MG Cyberster GT;395;
Mercedes-Benz EQA 250;395;
Audi Q4 e-tron 45 quattro;395;
Lexus RZ 500e;395;
Audi Q4 e-tron 55 quattro;395;
Audi Q6 SUV e-tron;395;
VinFast VF 8 Plus Extended Range;400;
Mercedes-Benz CLA 200;400;
KGM Torres EVX 80.6 kWh;400;
Toyota bZ4X Touring FWD 74.7 kWh;400;
Volvo EC40 Twin Motor;400;
