"Model";"Batterysize";"Range..avg...388.km.";"Consumption"
"Abarth 500e Convertible";"37.3";225;166
"Abarth 500e Hatchback";"37.3";225;166
"Abarth 600e Scorpionissima";"50.8";280;181
"Abarth 600e Turismo";"50.8";280;181
"Alfa Romeo Junior Elettrica 54 kWh";"50.8";320;159
"Alfa Romeo Junior Elettrica 54 kWh Veloce";"50.8";310;164
"Alpine A290 Electric 180 hp";"52";310;168
"Alpine A290 Electric 220 hp";"52";305;170
"Alpine A390 GT";"89";470;189
"Alpine A390 GTS";"89";470;189
"Audi A6 Avant e-tron";"75.8";465;163
"Audi A6 Avant e-tron performance";"94.9";575;165
"Audi A6 Avant e-tron quattro";"94.9";560;169
"Audi A6 Sportback e-tron";"75.8";485;156
"Audi A6 Sportback e-tron performance";"94.9";600;158
"Audi A6 Sportback e-tron quattro";"94.9";570;166
"Audi e-tron GT quattro";"97";540;180
"Audi Q4 e-tron 40";"59";325;182
"Audi Q4 e-tron 45";"77";420;183
"Audi Q4 e-tron 45 quattro";"77";395;195
"Audi Q4 e-tron 55 quattro";"77";395;195
"Audi Q4 Sportback e-tron 40";"59";340;174
"Audi Q4 Sportback e-tron 45";"77";435;177
"Audi Q4 Sportback e-tron 45 quattro";"77";410;188
"Audi Q4 Sportback e-tron 55 quattro";"77";415;186
"Audi Q6 Sportback e-tron";"75.8";410;185
"Audi Q6 Sportback e-tron performance";"94.9";510;186
"Audi Q6 Sportback e-tron quattro";"94.9";500;190
"Audi Q6 SUV e-tron";"75.8";395;192
"Audi Q6 SUV e-tron performance";"94.9";490;194
"Audi Q6 SUV e-tron quattro";"94.9";480;198
"Audi RS e-tron GT";"97";525;185
"Audi RS e-tron GT performance";"97";525;185
"Audi S e-tron GT";"97";540;180
"Audi S6 Avant e-tron";"94.9";530;179
"Audi S6 Sportback e-tron";"94.9";555;171
"Audi SQ6 Sportback e-tron";"94.9";495;192
"Audi SQ6 SUV e-tron";"94.9";470;202
"BMW i4 eDrive35";"67.1";435;154
"BMW i4 eDrive40";"81.3";525;155
"BMW i4 M60 xDrive";"81.3";465;175
"BMW i4 xDrive40";"81.3";495;164
"BMW i5 eDrive40 Sedan";"81.2";480;169
"BMW i5 eDrive40 Touring";"81.2";465;175
"BMW i5 M60 xDrive Sedan";"81.2";430;189
"BMW i5 M60 xDrive Touring";"81.2";425;191
"BMW i5 xDrive40 Sedan";"81.2";465;175
"BMW i5 xDrive40 Touring";"81.2";450;180
"BMW i7 eDrive50";"101.7";520;196
"BMW i7 M70 xDrive";"101.7";490;208
"BMW i7 xDrive60";"101.7";510;199
"BMW iX M70 xDrive";"108.9";500;218
"BMW iX xDrive45";"94.8";470;202
"BMW iX xDrive60";"109.1";525;208
"BMW iX1 eDrive20";"65.2";400;163
"BMW iX1 xDrive30";"65.2";390;167
"BMW iX2 eDrive20";"65.2";405;161
"BMW iX2 xDrive30";"65.2";395;165
"BMW iX3 50 xDrive";"108.7";610;178
"BYD ATTO 2 64.8 kWh";"64.8";305;191
"BYD ATTO 3";"60.5";340;178
"BYD ATTO 3 Evo AWD Excellence";"74.8";400;187
"BYD ATTO 3 Evo RWD Design";"74.8";415;180
"BYD DOLPHIN 60.4 kWh";"60.5";350;173
"BYD DOLPHIN SURF 30 kWh Active";"30";190;158
"BYD DOLPHIN SURF 43.2 kWh Boost";"43.2";270;160
"BYD DOLPHIN SURF 43.2 kWh Comfort";"43.2";265;163
"BYD SEAL 61.4 kWh RWD Comfort";"61.4";365;168
"BYD SEAL 82.5 kWh AWD Excellence";"82.5";445;185
"BYD SEAL 82.5 kWh RWD Design";"82.5";480;172
"BYD SEAL U 71.8 kWh Comfort";"71.8";360;199
"BYD SEAL U 87 kWh Design";"87";425;205
"BYD SEALION 7 82.5 kWh AWD Design";"82.5";405;204
"BYD SEALION 7 82.5 kWh RWD Comfort";"82.5";420;196
"BYD SEALION 7 91.3 kWh AWD Excellence";"91.3";440;208
"BYD TANG Flagship";"108.8";460;237
"Cadillac LYRIQ-V";"91";400;228
"Cadillac LYRIQ 600 E4";"102";460;222
"Cadillac OPTIQ 500 E4";"75";365;205
"Cadillac VISTIQ 900 E4";"91";375;243
"Changan Deepal S05 4WD Max";"68";365;186
"Changan Deepal S05 RWD";"68";385;177
"Changan Deepal S07 Standard";"78";410;190
"Citroën C5 Aircross Comfort Range";"73.7";375;197
"Citroën ë-Berlingo M 50 kWh";"50";235;213
"Citroën ë-Berlingo XL 50 kWh";"50";230;217
"Citroën ë-C3 Aircross Comfort Range 44 kWh";"43.8";240;183
"Citroën ë-C3 Aircross Extended Range 54 kWh";"53.5";290;184
"Citroën ë-C3 Standard Range 44 kWh";"43.8";255;172
"Citroën ë-C3 Urban Range 30 kWh";"29.8";175;170
"Citroën ë-C4";"46.3";285;162
"Citroën ë-C4 54 kWh";"50.8";325;156
"Citroën ë-C4 X";"46.3";290;160
"Citroën ë-C4 X 54 kWh";"50.8";335;152
"Citroën ë-SpaceTourer M 50 kWh";"46.3";180;257
"Citroën ë-SpaceTourer M 75 kWh";"69";265;260
"Citroën ë-SpaceTourer XL 50 kWh";"46.3";180;257
"Citroën ë-SpaceTourer XL 75 kWh";"69";265;260
"CUPRA Born 150 kW - 59 kWh";"59";360;164
"CUPRA Born 170 kW - 59 kWh";"59";360;164
"CUPRA Born 170 kW - 79 kWh";"79";470;168
"CUPRA Born VZ";"79";465;170
"CUPRA Tavascan Endurance";"77";445;173
"CUPRA Tavascan VZ";"77";425;181
"Dacia Spring Electric 100";"24";160;150
"Dacia Spring Electric 70";"24";165;145
"Dongfeng Box 31.4 kWh";"29";190;153
"Dongfeng Box 42.3 kWh";"40";255;157
"DS Automobiles DS 3 E-Tense";"50.8";300;169
"DS Automobiles N°4 E-Tense";"58.3";350;167
"DS Automobiles N°8 AWD Long Range";"97.2";530;183
"DS Automobiles N°8 FWD";"73.7";415;178
"DS Automobiles N°8 FWD Long Range";"97.2";545;178
"Elaris BEO 86 kWh";"81";390;208
"Fiat 500e 3+1 42 kWh";"37.3";235;159
"Fiat 500e Cabrio 24 kWh";"21.3";135;158
"Fiat 500e Cabrio 42 kWh";"37.3";230;162
"Fiat 500e Hatchback 24 kWh";"21.3";135;158
"Fiat 500e Hatchback 42 kWh";"37.3";235;159
"Fiat 600e";"50.8";310;164
"Fiat Grande Panda";"43.8";260;168
"firefly firefly";"41.2";240;172
"Ford Capri Extended Range AWD";"77";445;173
"Ford Capri Extended Range RWD";"79";470;168
"Ford Capri Standard Range RWD";"58";350;166
